lang_name			Italiano
powered_by			Offerto da
presents			Victor David Santos presenta...
play				Gioca
instructions		Istruzioni
options				Opzioni
more				Altro...
exit				Uscita
new_game			Nuovo gioco
continue			Continua
no_saved_games		Nessun gioco salvato
back				Indietro
previous			Precedente
next				Prossimo
instructions_0		Il GIOCO\nConnecMan è un puzzle game di facile comprensione. La base del gioco è collegare pezzi simili (pezzi dello stesso colore e con lo stesso simbolo) tramite 'linee di energia'. Le 'linee energetiche' sono composte da un massimo di tre segmenti (vedi sotto).
instructions_1		Una delle caratteristiche di ConnecMan è la varietà di tipi di pezzi che troverai lungo il gioco. Oltre ai pezzi comuni (rosso, blu e verde), ci sono blocchi di pietra, che non lasciano passare nessuna "linea di energia", e blocchi di ghiaccio, che fanno lo stesso, ma puoi fonderli collegando i pezzi attorno ad essi, come mostrato di seguito:
instructions_2		Altri pezzi che puoi collegare: pezzi forti, che devono essere collegati due volte per essere eliminati, pezzi di metallo, che valgono più punti, ma il loro valore diminuisce con il tempo, e pezzi mobili, che puoi spostare nelle direzioni indicate da piccole frecce gialle. Guarda l'immagine qui sotto:
instructions_3		ConnecMan è composto da 25 livelli avvincenti, distribuiti da cinque fantastici scenari. L'obiettivo comune è eliminare tutti i pezzi di collegamento. Tuttavia, ci sono livelli speciali (l'ultimo di ogni scenario) che dovrai formare parole Nisled - leggi Nisled in "Informazioni", dentro "Altro..." -, usando i pezzi bianchi. Questo viene fatto collegandoli nell'ordine corretto.
instructions_4		Per rendere ConnecMan ancora più interessante, in alcuni livelli potresti avere degli oggetti da usare, che ti aiutano a raggiungere l'obiettivo. Ci sono tre tipi di oggetti, ognuno con una funzione. Esplora i 25 livelli per scoprire i loro usi!
instructions_5		In ConnecMan non devi preoccuparti di dimenticare di salvare il gioco: quando fai clic su "Esci", il gioco ti chiede automaticamente se salvare i tuoi progressi.\n\nNella schermata di stato, puoi vedere quanti progressi hai fatto finora. Le lettere o i numeri nisled che hai appreso sono mostrati nella parte inferiore di questa schermata, nel modo seguente:
instructions_6		CONTROLLI\nIn 'Opzioni' puoi impostare i controlli di gioco su mouse o tastiera. Utilizzando il mouse, tutte le azioni vengono eseguite con un solo clic del pulsante sinistro. Quando impostato su tastiera, funziona come segue:\n- Tasti direzionali (frecce): naviga nei menu e sposta il cursore nell'area di gioco.\n- Barra spaziatrice: esegue un'azione (seleziona un'opzione in un menu, seleziona un pezzo o un oggetto nel gioco principale).\n- TAB: passa dalla schermata di gioco principale al pannello, che si trova sotto di esso. Utilizzato anche per passare dal campo di testo ai pulsanti nel menu di salvataggio del gioco.
instructions_7		TASTI RAPIDI\nAnche in "Opzioni", puoi attivarli o disattivarli. Quando è attiva, le loro funzioni sono:\n- C: cambia i controlli di gioco tra mouse e tastiera.\n- P: metti in pausa il gioco e apri il menu.\n- R: riavvia il livello corrente.\n- W: seleziona, quando disponibile, un 'Trasmettitore d'onda'.\n- H: seleziona, quando disponibile, una 'Clessidra'.\n- D: seleziona, quando disponibile, una 'Dinamite'.\n\nPuoi anche usare Alt+Invio per passare dalla finestra allo schermo intero in qualsiasi momento.
instructions_8		Coraggioso avventuriero, il tuo tutorial su ConnecMan è giunto al termine. Ora inizia il tuo viaggio attraverso le Nislands e fai lavorare il tuo cervello per risolvere i 25 enigmi!
inst_image_1		Il simbolo
inst_image_2		Nome del simbolo
inst_image_3		Lettera latina equivalente
save				Salva
cancel				Cancella
on					ON
off					OFF
general				Generale
language			Lingua
shortcut_keys		Tasti di scelta rapida
controls			Controlli
mouse				Mouse
keyboard			Tastiera
audio_graphics		Audio/Grafica
full_screen			Schermo intero
music_volume		Volume musica
sound_volume		Volume del suono
about				Informazioni
hall_of_fame		Hall of Fame
credits				Crediti
about_0				ConnecMan è un esploratore che ha deciso di intraprendere un viaggio attraverso le misteriose Nislands. Lì, ha trovato tracce di un'antica civiltà, che sembrava avere una cultura molto ricca.\nQuindi, il suo scopo è svelare i misteri di questa civiltà e cercare di decifrare il loro bellissimo linguaggio, che ha chiamato Nisled.
about_1				Studiando i pezzi di cristallo che ha trovato in quelle isole, ConnecMan ha scoperto che Nisled è un linguaggio interessante, perché è composto da un "alfabeto" e alcuni simboli più complessi, che generalmente rappresentano cose concrete o astratte.
