lang_name			Português
play				Jogar
instructions		Instruções
options				Opções
more				Mais...
exit				Sair
new_game			Novo Jogo
continue			Continuar
no_saved_games		Nenhum jogo salvo
back				Voltar
previous			Anterior
next				Próximo
instructions_0		O JOGO\nConnecMan é um jogo de puzzle muito fácil de se aprender. A base do jogo consiste em conectar peças iguais (mesma cor e símbolo) através de 'linhas de energia'. As 'linhas de energia' podem ser formadas por até três segmentos, como na figura abaixo:
instructions_1		Uma das atrações de ConnecMan é que você poderá encontrar uma grande variedade de tipos de peças ao longo do jogo. Além das peças comuns (vermelhas, azuis ou verdes), temos os blocos de pedra, que bloqueiam as 'linhas de energia', e os blocos de gelo, que também as bloqueiam, mas podem ser derretidos com a energia de uma conexão entre peças (veja abaixo).
instructions_2		Existem também outros tipos de peças que podem ser combinadas: algumas delas são mais resistentes, precisando ser conectadas duas vezes para serem eliminadas, outras podem ser movidas em determinadas direções, indicadas por pequenas setinhas amarelas. Há também as peças metálicas, que valem mais pontos, mas vão perdendo seu valor com o tempo (ver imagem abaixo):
instructions_3		ConnecMan é composto por 25 níveis desafiadores, distribuídos em cinco incríveis cenários. Normalmente, o objetivo de cada nível é eliminar todas as peças que podem ser conectadas. No entanto, no último nível de cada cenário, seu objetivo será formar, com as peças brancas (mostradas abaixo), palavras em Nisled - leia mais sobre Nisled na seção 'Sobre' do menu 'Mais...'. Para isso, as peças devem ser conectadas na ordem certa.
instructions_4		Para tornar o jogo ainda mais interessante, em algumas fases você poderá dispor de itens, que te ajudarão no cumprimento do objetivo. São três itens diferentes, cada um com uma função. Explore os 25 níveis de ConnecMan para descobrir a utilidade de cada um!
instructions_5		Ao jogar ConnecMan, você não precisa se preocupar com esquecer de salvar o jogo: quando você clica em 'Sair', o jogo pergunta automaticamente se você quer salvar.\n\nNa tela de Status, você pode acompanhar seu progresso ao longo da aventura. As letras e números Nisled que você for descobrindo são mostradas na parte de baixo da tela da seguinte forma:
instructions_6		CONTROLES\nNo menu 'Opções', você pode alternar os controles entre mouse e teclado. No caso do mouse, todos os comandos do jogo - inclusive a navegação por menus - são executados com cliques simples com o botão esquerdo. Para o teclado, veja quais teclas serão utilizadas:\n- Direcionais (setas): para navegar entre itens em menus e para mover o cursor na tela principal do jogo.\n- Barra de espaço: para executar todas as ações, tanto em menus (selecionar uma opção) quanto no jogo (selecionar uma peça, utilizar um item).\n- Tab: usada para alternar entre a tela do jogo e o painel, localizado na parte inferior da tela. Também serve para alternar o foco, no menu de salvar jogo, entre o campo de texto e os botões do menu.
instructions_7		TECLAS DE ATALHO\nTambém no menu 'Opções', você pode ativá-las ou desativá-las. Quando habilitadas, veja suas funções:\n- C: alterna automaticamente o tipo de controle (mouse ou teclado).\n- P: pausa o jogo, abrindo o menu.\n- R: reinicia a fase atual.\n- W: utiliza, quando disponível, um item 'Transmissor de Ondas'.\n- H: utiliza, quando disponível, um item 'Ampulheta'.\n- D: utiliza, quando disponível, um item 'Dinamite'.\n\nVocê também pode usar Alt+Enter para alternar entre janela e tela cheia a qualquer momento.
instructions_8		Bravo aventureiro, aqui acaba seu tutorial sobre ConnecMan. Agora, é só partir em sua jornada pelas ilhas de Nisland, e desafiar seu cérebro nas 25 emocionantes fases!
save				Salvar
cancel				Cancelar
on					Sim
off					Não
general				Geral
language			Idioma
shortcut_keys		Teclas de atalho
controls			Controles
mouse				Mouse
keyboard			Teclado
audio_graphics		Áudio/Gráficos
full_screen			Tela cheia
music_volume		Volume da música
sound_volume		Volume dos sons
about				Sobre
hall_of_fame		Hall da Fama
credits				Créditos
about_0				ConnecMan é um explorador que decidiu fazer uma jornada pelas misteriosas ilhas de Nisland. Lá, ele encontra vestígios de uma civilização antiga, que aparentemente teve uma cultura muito rica, que ficou gravada em estranhos cristais. Seu objetivo é desvendar os mistérios dessa civilização e decifrar sua língua, que ele chamou de 'Nisled'.
about_1				Ao continuar estudando as peças de cristal, que emanavam uma forte energia, ConnecMan percebe que esse idioma que ele está tentando decifrar é muito interessante: possui um alfabeto próprio, além de símbolos mais complexos, que geralmente são usados para representar, por si só, uma palavra.
about_2				Em cada cristal havia uma letra ou algarismo Nisled gravado, e ao combinar cristais iguais, uma grande energia era liberada, contendo uma parcela do conhecimento deixado por aquela civilização. Por isso, ConnecMan decide viajar pelas várias ilhas em busca de mais conhecimento, combinando todos os cristais que encontrar. E aqui entra sua parte nessa história: ajude ConnecMan a decifrar os enigmas do Nisled e aprenda essa inusitada língua você também!
no_players			Nenhum jogador no Hall da Fama
credits_info		Design, programação, gráficos e música por:\nVictor David Santos\n\nAgradecimentos especiais:\nJoão Carlos dos Santos\nNathália David Santos\nYuri David Santos\nZuleica Hiromi Alves\n\nEm memória de\nLuiz Carlos dos Santos
